lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
115.36,115.69,115.11,-0.0017337031900138689,115.16,114.921,1
115.16,115.36,115.69,0.009725599166377163,115.51999999999998,115.075,1
116.28,115.16,115.36,0.002751977984176035,115.81800000000001,115.28399999999999,0
116.6,116.28,115.16,-0.005660377358490565,115.86800000000001,115.422,0
115.94,116.6,116.28,-0.0005606348111091286,115.971,115.55350000000001,1
115.875,115.94,116.6,0.00021574973031279754,116.119,115.6395,0
115.9,115.875,115.94,-0.001121656600517773,116.01700000000001,115.76849999999999,1
115.77,115.9,115.875,0.0017275632720048506,115.89099999999999,115.85449999999999,1
115.97,115.77,115.9,0.004311459860308675,115.997,115.9325,0
116.47,115.97,115.77,-0.0006868721559200042,116.1,116.0355,1
116.39,116.47,115.97,0.0006014262393676528,116.21199999999999,116.1655,1
116.46,116.39,116.47,0.006869311351537011,116.50999999999999,116.26350000000002,0
117.26,116.46,116.39,-0.0007675251577691222,116.75,116.3205,0
117.17,117.26,116.46,-0.003968592643168067,116.797,116.39699999999998,1
116.705,117.17,117.26,0.0026991131485369912,116.923,116.5115,1
117.02,116.705,117.17,0.002905486241668198,117.103,116.6575,0
117.36,117.02,116.705,-0.002556237218813928,117.06300000000002,116.7865,0
117.06,117.36,117.02,-0.007602938663933023,116.86299999999999,116.8065,0
116.17,117.06,117.36,0.0,116.756,116.77650000000001,1
116.17,116.17,117.06,0.0033571490057673348,116.66400000000002,116.7935,0
116.56,116.17,116.17,-0.0010295126973233204,116.47999999999999,116.79150000000001,1
116.44,116.56,116.17,0.004379938165578912,116.458,116.76050000000001,1
116.95,116.44,116.56,0.005130397605814352,116.734,116.79850000000002,1
117.55,116.95,116.44,0.00229689493832419,117.06400000000001,116.91000000000001,0
117.82,117.55,116.95,-0.0031403836360549553,117.24199999999999,116.953,1
117.45,117.82,117.55,0.0010217113665389466,117.468,116.974,0
117.57,117.45,117.82,-0.000850557114910222,117.572,117.01500000000001,1
117.47,117.57,117.45,0.0035753809483272114,117.64000000000001,117.18699999999998,0
117.89,117.47,117.57,-0.002459920264653581,117.596,117.33,0
117.6,117.89,117.47,-0.0011904761904761862,117.598,117.42,0
117.46,117.6,117.89,-0.009364890175378782,117.356,117.41199999999999,1
116.36,117.46,117.6,0.002921966311447255,117.202,117.38700000000001,0
116.7,116.36,117.46,-0.001928020565552746,116.91900000000001,117.27949999999998,1
116.475,116.7,116.36,0.005709379695213679,116.827,117.2115,1
117.14,116.475,116.7,0.0025610380740992422,116.82300000000001,117.2105,1
